timestamp_iso,elapsed_s,run_id,controller_type,phase,stage_index,target_temp_c,vessel_temp_c,jacket_temp_c,jacket_minus_vessel_c,heater_pwm_percent,requested_heater_pwm_percent,fan_state,jacket_vessel_gap_warning,safety_limited,safety_reason,ambient_temp_c,pwm_step_start_elapsed_s,seconds_since_pwm_change,arduino_heater_reply,arduino_fan_reply
2026-05-20T13:45:34,64.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.30,-1.40,0,0,0,0,0,,26.70,2.21,62.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:35,65.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,63.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:36,66.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,64.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:37,67.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,65.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:38,68.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,66.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:39,69.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,67.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:40,70.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,68.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:41,71.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,69.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:42,72.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,70.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:43,73.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,71.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:44,74.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,72.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:45,75.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,73.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:46,76.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,74.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:47,77.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,75.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:48,78.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,76.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:49,79.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,77.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:50,80.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,78.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:51,81.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.30,-1.40,0,0,0,0,0,,26.70,2.21,79.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:52,82.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,80.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:53,83.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,81.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:54,84.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.30,-1.40,0,0,0,0,0,,26.70,2.21,82.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:55,85.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,83.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:56,86.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,84.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:57,87.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,85.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:58,88.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,86.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:59,89.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,87.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:46:00,90.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,88.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:46:01,91.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,89.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:46:02,92.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,90.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:46:03,93.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,91.00,OK:THERMAL_ACC=00,OK:FAN_OFF
